,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_4,3.777930974960327,4.0,5.0,6.0,7.0,8.0,9.0
execution_2_case_0_patient_4,4.090889930725098,4.0,5.0,6.0,7.0,8.0,9.0
execution_3_case_0_patient_4,3.959428548812866,4.0,5.0,6.0,7.0,8.0,9.0
execution_4_case_0_patient_4,3.76888108253479,4.0,5.0,6.0,7.0,8.0,9.0
execution_5_case_0_patient_4,3.5258843898773193,4.0,5.0,6.0,7.0,8.0,9.0
execution_6_case_0_patient_4,3.9651358127593994,4.0,5.0,6.0,7.0,8.0,9.0
execution_7_case_0_patient_4,3.6329238414764404,4.0,5.0,6.0,7.0,8.0,9.0
execution_8_case_0_patient_4,3.952052354812622,4.0,5.0,6.0,7.0,8.0,9.0
execution_9_case_0_patient_4,4.231383800506592,4.0,5.0,6.0,7.0,8.0,9.0
execution_10_case_0_patient_4,4.02571964263916,4.0,5.0,6.0,7.0,8.0,9.0
mean_10_case_0_patient_4,3.8930230379104613,4.0,5.0,6.0,7.0,8.0,9.0
min_10_case_0_patient_4,3.5258843898773193,4.0,5.0,6.0,7.0,8.0,9.0
max_10_case_0_patient_4,4.231383800506592,4.0,5.0,6.0,7.0,8.0,9.0
