,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_4,1.1495321989059448,1.0953046083450317,1.0399810075759888,0.9517180919647217,0.3902127146720886,0.772823691368103,0.44888707995414734
execution_2_case_0_patient_4,1.0866974592208862,0.839979887008667,0.9618350267410278,0.9113702774047852,0.7645325660705566,0.7912507057189941,0.3464224636554718
execution_3_case_0_patient_4,1.0812503099441528,0.8706639409065247,1.0027967691421509,0.9426219463348389,0.32760995626449585,0.7485397458076477,0.436681866645813
execution_4_case_0_patient_4,1.1761953830718994,0.9778382778167725,0.9841416478157043,0.8237995505332947,0.682735800743103,0.7231218814849854,0.49102699756622314
execution_5_case_0_patient_4,1.0699535608291626,0.834098756313324,0.9636569619178772,0.858737051486969,0.3554348647594452,0.7841202616691589,0.3336234986782074
execution_6_case_0_patient_4,1.398063063621521,0.9217090606689453,0.9876984357833862,0.949845016002655,0.8437100052833557,0.7638323307037354,1.0053658485412598
execution_7_case_0_patient_4,1.0404187440872192,0.9784419536590576,0.9976835250854492,0.7455067038536072,0.38867294788360596,0.779316782951355,0.44422459602355957
execution_8_case_0_patient_4,1.3335434198379517,0.9508206844329834,1.0320079326629639,0.9634755253791809,0.5316659808158875,0.777089536190033,0.9006673097610474
execution_9_case_0_patient_4,1.1271249055862427,0.8322063684463501,0.96662437915802,0.72613924741745,0.782757043838501,0.847520649433136,0.6150434613227844
execution_10_case_0_patient_4,1.0591912269592285,0.7970129251480103,0.9901108145713806,0.8036191463470459,0.7592258453369141,0.7575323581695557,0.4076020121574402
mean_10_case_0_patient_4,1.1521970272064208,0.9098076462745667,0.9926536500453949,0.8676832556724549,0.5826557725667953,0.7745147943496704,0.5429545134305954
min_10_case_0_patient_4,1.0404187440872192,0.7970129251480103,0.9618350267410278,0.72613924741745,0.32760995626449585,0.7231218814849854,0.3336234986782074
max_10_case_0_patient_4,1.398063063621521,1.0953046083450317,1.0399810075759888,0.9634755253791809,0.8437100052833557,0.847520649433136,1.0053658485412598
