Patient 001,score_patient_001_exp_7,score_patient_002_exp_7,score_patient_004_exp_7,score_patient_006_exp_7,score_patient_007_exp_7,score_patient_008_exp_7
execution_1_case_0_try_number_7,0.23520147800445557,0.42359140515327454,0.44888707995414734,0.3720182776451111,0.7110097408294678,0.7626282572746277
execution_2_case_0_try_number_7,0.2677515745162964,0.3204924166202545,0.3464224636554718,0.33727821707725525,0.6927481293678284,0.6817800402641296
execution_3_case_0_try_number_7,0.26074331998825073,0.37372907996177673,0.436681866645813,0.46195921301841736,0.6716670393943787,0.8950323462486267
execution_4_case_0_try_number_7,0.2533927261829376,0.3711843490600586,0.49102699756622314,0.366100937128067,0.7207687497138977,0.72188800573349
execution_5_case_0_try_number_7,0.2711997330188751,0.4119938910007477,0.3336234986782074,0.4720722734928131,0.6222352385520935,0.7630927562713623
execution_6_case_0_try_number_7,0.2935838997364044,0.5052922964096069,1.0053658485412598,0.5764657258987427,0.8012020587921143,0.6571177244186401
execution_7_case_0_try_number_7,0.30501991510391235,0.40330803394317627,0.44422459602355957,0.37179920077323914,0.9075987339019775,0.8093410134315491
execution_8_case_0_try_number_7,0.36364784836769104,0.3942325711250305,0.9006673097610474,0.5338256359100342,0.6992507576942444,0.626743733882904
execution_9_case_0_try_number_7,0.32350537180900574,0.3715568482875824,0.6150434613227844,0.26200419664382935,0.5864925384521484,0.687760591506958
execution_10_case_0_try_number_7,0.29254335165023804,0.33794909715652466,0.4076020121574402,0.3696845471858978,0.7021827697753906,0.8242939114570618
