Patient 001,score_patient_001_exp_5,score_patient_002_exp_5,score_patient_004_exp_5,score_patient_006_exp_5,score_patient_007_exp_5,score_patient_008_exp_5
execution_1_case_0_try_number_5,0.26016566157341003,0.3507786691188812,0.3902127146720886,0.3715730607509613,0.882225751876831,0.7216159105300903
execution_2_case_0_try_number_5,0.27220267057418823,0.35020673274993896,0.7645325660705566,0.48098766803741455,0.6368430256843567,0.6734625101089478
execution_3_case_0_try_number_5,0.27504709362983704,0.4169636070728302,0.32760995626449585,0.5223663449287415,0.5960191488265991,0.7010110020637512
execution_4_case_0_try_number_5,0.2543336749076843,0.4452946186065674,0.682735800743103,0.3985355794429779,0.8116318583488464,0.6441330313682556
execution_5_case_0_try_number_5,0.39619389176368713,0.4232243597507477,0.3554348647594452,0.44355955719947815,0.6506516337394714,0.5858854651451111
execution_6_case_0_try_number_5,0.21984803676605225,0.396234393119812,0.8437100052833557,0.4284563958644867,0.580511748790741,0.8495849370956421
execution_7_case_0_try_number_5,0.2681117653846741,0.34382250905036926,0.38867294788360596,0.3159869909286499,0.6403703689575195,0.7084946632385254
execution_8_case_0_try_number_5,0.24838079512119293,0.4319489896297455,0.5316659808158875,0.3506467342376709,0.5670157074928284,0.7754263877868652
execution_9_case_0_try_number_5,0.2705371081829071,0.36423707008361816,0.782757043838501,0.44576916098594666,0.7399473786354065,0.8548688888549805
execution_10_case_0_try_number_5,0.23663493990898132,0.37986087799072266,0.7592258453369141,0.42580169439315796,0.6266573071479797,0.7274999022483826
